Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Güven Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,338862.9
Güven Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,557550.3
Güven Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,481300.4
Güven Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,426489.97
Güven Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,565809.5
Güven Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,493427.44
Güven Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,434968.7
Güven Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,576776.7
Güven Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,504667.38
Güven Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,443070.03
Güven Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,492735.62
Güven Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,427341.97
Güven Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,374238.47
Güven Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,502660.06
Güven Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,438025.2
Güven Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,382774.66
Güven Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,515834.03
Güven Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,448247.56
Güven Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,390631.84
Güven Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,432145.5
Güven Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,374465.94
Güven Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,322903.34
Güven Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,443806.0
Güven Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,385211.1
Güven Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,332983.4
Güven Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,452478.84
Güven Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,395098.22
Güven Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,342123.6
Güven Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,684841.4
Güven Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,591264.56
Güven Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,505333.62
Güven Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,692728.3
Güven Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,596265.94
Güven Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,518716.8
Güven Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,697590.0
Güven Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,601147.8
Güven Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,529761.7
Güven Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,627110.0
Güven Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,534821.5
Güven Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,457000.12
Güven Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,632414.2
Güven Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,541234.1
Güven Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,472660.44
Güven Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,636991.9
Güven Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,550144.4
Güven Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,482186.38
Güven Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,559717.56
Güven Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,475353.22
Güven Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,406724.44
Güven Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,567569.56
Güven Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,487567.44
Güven Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,419736.28
Güven Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,569602.7
Güven Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,496600.56
Güven Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,431954.53
Güven Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,588444.7
Güven Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,497999.8
Güven Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,438148.66
Güven Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,613076.94
Güven Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,515322.94
Güven Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,450693.9
Güven Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,643300.7
Güven Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,532221.1
Güven Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,463565.75
Güven Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,502657.25
Güven Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,431699.5
Güven Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,374914.6
Güven Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,521288.6
Güven Sitesi,Huzurevi,S68,0.6,0.3,1.0,2.0,22,447796.47
Güven Sitesi,Huzurevi,S69,0.6,0.3,1.0,2.0,23,386154.12
Güven Sitesi,Huzurevi,S70,0.6,0.3,1.0,2.5,21,542836.8
Güven Sitesi,Huzurevi,S71,0.6,0.3,1.0,2.5,22,466954.12
Güven Sitesi,Huzurevi,S72,0.6,0.3,1.0,2.5,23,397847.28
Güven Sitesi,Huzurevi,S73,0.6,0.3,1.2,1.5,21,438826.84
Güven Sitesi,Huzurevi,S74,0.6,0.3,1.2,1.5,22,368850.28
Güven Sitesi,Huzurevi,S75,0.6,0.3,1.2,1.5,23,318655.2
Güven Sitesi,Huzurevi,S76,0.6,0.3,1.2,2.0,21,462648.28
Güven Sitesi,Huzurevi,S77,0.6,0.3,1.2,2.0,22,388110.5
Güven Sitesi,Huzurevi,S78,0.6,0.3,1.2,2.0,23,330352.56
Güven Sitesi,Huzurevi,S79,0.6,0.3,1.2,2.5,21,483958.62
Güven Sitesi,Huzurevi,S80,0.6,0.3,1.2,2.5,22,409842.47
Güven Sitesi,Huzurevi,S81,0.6,0.3,1.2,2.5,23,345948.2
Güven Sitesi,Huzurevi,S82,0.6,0.7,0.8,1.5,21,723324.25
Güven Sitesi,Huzurevi,S83,0.6,0.7,0.8,1.5,22,607304.25
Güven Sitesi,Huzurevi,S84,0.6,0.7,0.8,1.5,23,519778.88
Güven Sitesi,Huzurevi,S85,0.6,0.7,0.8,2.0,21,740250.7
Güven Sitesi,Huzurevi,S86,0.6,0.7,0.8,2.0,22,618599.75
Güven Sitesi,Huzurevi,S87,0.6,0.7,0.8,2.0,23,533055.44
Güven Sitesi,Huzurevi,S88,0.6,0.7,0.8,2.5,21,733981.8
Güven Sitesi,Huzurevi,S89,0.6,0.7,0.8,2.5,22,633810.3
Güven Sitesi,Huzurevi,S90,0.6,0.7,0.8,2.5,23,546349.75
Güven Sitesi,Huzurevi,S91,0.6,0.7,1.0,1.5,21,638283.56
Güven Sitesi,Huzurevi,S92,0.6,0.7,1.0,1.5,22,531723.5
Güven Sitesi,Huzurevi,S93,0.6,0.7,1.0,1.5,23,452522.94
Güven Sitesi,Huzurevi,S94,0.6,0.7,1.0,2.0,21,651878.2
Güven Sitesi,Huzurevi,S95,0.6,0.7,1.0,2.0,22,545428.75
Güven Sitesi,Huzurevi,S96,0.6,0.7,1.0,2.0,23,464773.03
Güven Sitesi,Huzurevi,S97,0.6,0.7,1.0,2.5,21,661403.2
Güven Sitesi,Huzurevi,S98,0.6,0.7,1.0,2.5,22,560088.25
Güven Sitesi,Huzurevi,S99,0.6,0.7,1.0,2.5,23,477703.66
Güven Sitesi,Huzurevi,S100,0.6,0.7,1.2,1.5,21,558547.4
Güven Sitesi,Huzurevi,S101,0.6,0.7,1.2,1.5,22,466011.0
Güven Sitesi,Huzurevi,S102,0.6,0.7,1.2,1.5,23,394809.78
Güven Sitesi,Huzurevi,S103,0.6,0.7,1.2,2.0,21,570483.0
Güven Sitesi,Huzurevi,S104,0.6,0.7,1.2,2.0,22,483540.25
Güven Sitesi,Huzurevi,S105,0.6,0.7,1.2,2.0,23,405757.1
Güven Sitesi,Huzurevi,S106,0.6,0.7,1.2,2.5,21,579967.75
Güven Sitesi,Huzurevi,S107,0.6,0.7,1.2,2.5,22,498553.56
Güven Sitesi,Huzurevi,S108,0.6,0.7,1.2,2.5,23,418631.06
Güven Sitesi,Huzurevi,S109,0.9,0.3,0.8,1.5,21,608402.1
Güven Sitesi,Huzurevi,S110,0.9,0.3,0.8,1.5,22,499338.66
Güven Sitesi,Huzurevi,S111,0.9,0.3,0.8,1.5,23,445711.47
Güven Sitesi,Huzurevi,S112,0.9,0.3,0.8,2.0,21,613779.75
Güven Sitesi,Huzurevi,S113,0.9,0.3,0.8,2.0,22,528740.75
Güven Sitesi,Huzurevi,S114,0.9,0.3,0.8,2.0,23,466286.7
Güven Sitesi,Huzurevi,S115,0.9,0.3,0.8,2.5,21,616826.7
Güven Sitesi,Huzurevi,S116,0.9,0.3,0.8,2.5,22,556435.9
Güven Sitesi,Huzurevi,S117,0.9,0.3,0.8,2.5,23,486480.66
Güven Sitesi,Huzurevi,S118,0.9,0.3,1.0,1.5,21,570355.75
Güven Sitesi,Huzurevi,S119,0.9,0.3,1.0,1.5,22,447594.06
Güven Sitesi,Huzurevi,S120,0.9,0.3,1.0,1.5,23,389529.03
Güven Sitesi,Huzurevi,S121,0.9,0.3,1.0,2.0,21,601654.25
Güven Sitesi,Huzurevi,S122,0.9,0.3,1.0,2.0,22,471896.03
Güven Sitesi,Huzurevi,S123,0.9,0.3,1.0,2.0,23,406012.03
Güven Sitesi,Huzurevi,S124,0.9,0.3,1.0,2.5,21,605934.2
Güven Sitesi,Huzurevi,S125,0.9,0.3,1.0,2.5,22,496178.25
Güven Sitesi,Huzurevi,S126,0.9,0.3,1.0,2.5,23,423141.6
Güven Sitesi,Huzurevi,S127,0.9,0.3,1.2,1.5,21,475268.84
Güven Sitesi,Huzurevi,S128,0.9,0.3,1.2,1.5,22,392727.3
Güven Sitesi,Huzurevi,S129,0.9,0.3,1.2,1.5,23,335045.44
Güven Sitesi,Huzurevi,S130,0.9,0.3,1.2,2.0,21,509573.12
Güven Sitesi,Huzurevi,S131,0.9,0.3,1.2,2.0,22,413195.44
Güven Sitesi,Huzurevi,S132,0.9,0.3,1.2,2.0,23,349588.06
Güven Sitesi,Huzurevi,S133,0.9,0.3,1.2,2.5,21,533795.44
Güven Sitesi,Huzurevi,S134,0.9,0.3,1.2,2.5,22,436003.72
Güven Sitesi,Huzurevi,S135,0.9,0.3,1.2,2.5,23,364780.3
Güven Sitesi,Huzurevi,S136,0.9,0.7,0.8,1.5,21,710011.5
Güven Sitesi,Huzurevi,S137,0.9,0.7,0.8,1.5,22,608729.7
Güven Sitesi,Huzurevi,S138,0.9,0.7,0.8,1.5,23,532895.56
Güven Sitesi,Huzurevi,S139,0.9,0.7,0.8,2.0,21,706914.5
Güven Sitesi,Huzurevi,S140,0.9,0.7,0.8,2.0,22,624846.9
Güven Sitesi,Huzurevi,S141,0.9,0.7,0.8,2.0,23,542303.25
Güven Sitesi,Huzurevi,S142,0.9,0.7,0.8,2.5,21,700912.5
Güven Sitesi,Huzurevi,S143,0.9,0.7,0.8,2.5,22,635346.5
Güven Sitesi,Huzurevi,S144,0.9,0.7,0.8,2.5,23,551773.9
Güven Sitesi,Huzurevi,S145,0.9,0.7,1.0,1.5,21,680175.8
Güven Sitesi,Huzurevi,S146,0.9,0.7,1.0,1.5,22,538456.44
Güven Sitesi,Huzurevi,S147,0.9,0.7,1.0,1.5,23,461815.12
Güven Sitesi,Huzurevi,S148,0.9,0.7,1.0,2.0,21,686065.75
Güven Sitesi,Huzurevi,S149,0.9,0.7,1.0,2.0,22,557124.1
Güven Sitesi,Huzurevi,S150,0.9,0.7,1.0,2.0,23,471517.1
Güven Sitesi,Huzurevi,S151,0.9,0.7,1.0,2.5,21,685103.4
Güven Sitesi,Huzurevi,S152,0.9,0.7,1.0,2.5,22,577091.8
Güven Sitesi,Huzurevi,S153,0.9,0.7,1.0,2.5,23,487838.1
Güven Sitesi,Huzurevi,S154,0.9,0.7,1.2,1.5,21,569023.6
Güven Sitesi,Huzurevi,S155,0.9,0.7,1.2,1.5,22,469910.78
Güven Sitesi,Huzurevi,S156,0.9,0.7,1.2,1.5,23,393751.1
Güven Sitesi,Huzurevi,S157,0.9,0.7,1.2,2.0,21,595442.8
Güven Sitesi,Huzurevi,S158,0.9,0.7,1.2,2.0,22,486215.7
Güven Sitesi,Huzurevi,S159,0.9,0.7,1.2,2.0,23,411094.2
Güven Sitesi,Huzurevi,S160,0.9,0.7,1.2,2.5,21,616518.06
Güven Sitesi,Huzurevi,S161,0.9,0.7,1.2,2.5,22,505241.22
Güven Sitesi,Huzurevi,S162,0.9,0.7,1.2,2.5,23,427254.03
